,Currency,Exchange,month,date,year
0,USD,1.0,1,1,2015
1,CAD,1.1583,1,1,2015
2,AUD,1.2214,1,1,2015
3,EUR,0.8237,1,1,2015
4,GBP,0.6415,1,1,2015
5,USD,1.0,1,2,2015
6,CAD,1.1682,1,2,2015
7,AUD,1.2323,1,2,2015
8,EUR,0.8304,1,2,2015
9,GBP,0.6477,1,2,2015
10,USD,1.0,1,3,2015
11,CAD,1.1682,1,3,2015
12,AUD,1.2323,1,3,2015
13,EUR,0.8304,1,3,2015
14,GBP,0.6477,1,3,2015
15,USD,1.0,1,4,2015
16,CAD,1.1682,1,4,2015
17,AUD,1.2323,1,4,2015
18,EUR,0.8304,1,4,2015
19,GBP,0.6477,1,4,2015
20,USD,1.0,1,5,2015
21,CAD,1.1784,1,5,2015
22,AUD,1.2384,1,5,2015
23,EUR,0.8393,1,5,2015
24,GBP,0.6569,1,5,2015
25,USD,1.0,1,6,2015
26,CAD,1.1763,1,6,2015
27,AUD,1.2288,1,6,2015
28,EUR,0.8393,1,6,2015
29,GBP,0.6582,1,6,2015
30,USD,1.0,1,7,2015
31,CAD,1.183,1,7,2015
32,AUD,1.2391,1,7,2015
33,EUR,0.8452,1,7,2015
34,GBP,0.6612,1,7,2015
35,USD,1.0,1,8,2015
36,CAD,1.1816,1,8,2015
37,AUD,1.2337,1,8,2015
38,EUR,0.8498,1,8,2015
39,GBP,0.6637,1,8,2015
40,USD,1.0,1,9,2015
41,CAD,1.182,1,9,2015
42,AUD,1.228,1,9,2015
43,EUR,0.8465,1,9,2015
44,GBP,0.6602,1,9,2015
45,USD,1.0,1,10,2015
46,CAD,1.182,1,10,2015
47,AUD,1.228,1,10,2015
48,EUR,0.8465,1,10,2015
49,GBP,0.6602,1,10,2015
50,USD,1.0,1,11,2015
51,CAD,1.182,1,11,2015
52,AUD,1.228,1,11,2015
53,EUR,0.8465,1,11,2015
54,GBP,0.6602,1,11,2015
55,USD,1.0,1,12,2015
56,CAD,1.1897,1,12,2015
57,AUD,1.2282,1,12,2015
58,EUR,0.8472,1,12,2015
59,GBP,0.66,1,12,2015
60,USD,1.0,1,13,2015
61,CAD,1.1966,1,13,2015
62,AUD,1.2257,1,13,2015
63,EUR,0.8488,1,13,2015
64,GBP,0.6592,1,13,2015
65,USD,1.0,1,14,2015
66,CAD,1.1965,1,14,2015
67,AUD,1.2291,1,14,2015
68,EUR,0.8493,1,14,2015
69,GBP,0.6584,1,14,2015
70,USD,1.0,1,15,2015
71,CAD,1.1834,1,15,2015
72,AUD,1.208,1,15,2015
73,EUR,0.8541,1,15,2015
74,GBP,0.6553,1,15,2015
75,USD,1.0,1,16,2015
76,CAD,1.2035,1,16,2015
77,AUD,1.2179,1,16,2015
78,EUR,0.863,1,16,2015
79,GBP,0.659,1,16,2015
80,USD,1.0,1,17,2015
81,CAD,1.2035,1,17,2015
82,AUD,1.2179,1,17,2015
83,EUR,0.863,1,17,2015
84,GBP,0.659,1,17,2015
85,USD,1.0,1,18,2015
86,CAD,1.2035,1,18,2015
87,AUD,1.2179,1,18,2015
88,EUR,0.863,1,18,2015
89,GBP,0.659,1,18,2015
90,USD,1.0,1,19,2015
91,CAD,1.1983,1,19,2015
92,AUD,1.2179,1,19,2015
93,EUR,0.8617,1,19,2015
94,GBP,0.6604,1,19,2015
95,USD,1.0,1,20,2015
96,CAD,1.2013,1,20,2015
97,AUD,1.2197,1,20,2015
98,EUR,0.8636,1,20,2015
99,GBP,0.6596,1,20,2015
100,USD,1.0,1,21,2015
101,CAD,1.2075,1,21,2015
102,AUD,1.2174,1,21,2015
103,EUR,0.8626,1,21,2015
104,GBP,0.6617,1,21,2015
105,USD,1.0,1,22,2015
106,CAD,1.2354,1,22,2015
107,AUD,1.2308,1,22,2015
108,EUR,0.8607,1,22,2015
109,GBP,0.6579,1,22,2015
110,USD,1.0,1,23,2015
111,CAD,1.2446,1,23,2015
112,AUD,1.2653,1,23,2015
113,EUR,0.893,1,23,2015
114,GBP,0.6674,1,23,2015
115,USD,1.0,1,24,2015
116,CAD,1.2446,1,24,2015
117,AUD,1.2653,1,24,2015
118,EUR,0.893,1,24,2015
119,GBP,0.6674,1,24,2015
120,USD,1.0,1,25,2015
121,CAD,1.2446,1,25,2015
122,AUD,1.2653,1,25,2015
123,EUR,0.893,1,25,2015
124,GBP,0.6674,1,25,2015
125,USD,1.0,1,26,2015
126,CAD,1.2459,1,26,2015
127,AUD,1.2653,1,26,2015
128,EUR,0.8894,1,26,2015
129,GBP,0.6661,1,26,2015
130,USD,1.0,1,27,2015
131,CAD,1.2458,1,27,2015
132,AUD,1.2589,1,27,2015
133,EUR,0.8845,1,27,2015
134,GBP,0.6609,1,27,2015
